system:index,BUI,Class,NDBI,NDVI,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B7,.geo
1_1_2_8_0,0.3751051,0,-0.32875255,0.6746966,0.03495999999999999,0.042385000000000006,0.07524750000000002,0.06367,0.32778,0.09400249999999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_9_0,0.4149064,0,-0.31889215,0.70589536,0.040927500000000006,0.046262499999999984,0.07835500000000001,0.06325750000000002,0.36691250000000003,0.10673500000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_10_0,0.36981156,0,-0.32540968,0.69235814,0.034629999999999994,0.04362250000000001,0.07549499999999998,0.058609999999999995,0.32241749999999997,0.08883249999999998,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_11_0,0.38457358,0,-0.32871667,0.68828326,0.03495999999999999,0.045685,0.073625,0.060535000000000005,0.3278625,0.0872925,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_12_0,0.36663267,0,-0.33310205,0.68934846,0.03501499999999999,0.04571249999999999,0.07684249999999998,0.06094749999999999,0.3314375,0.0872925,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_13_0,0.36607513,0,-0.3463864,0.6902845,0.03792999999999999,0.04689499999999999,0.07662249999999998,0.0623225,0.34012749999999997,0.08644000000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_14_0,0.38287607,0,-0.3128835,0.69985896,0.036610000000000004,0.04436499999999999,0.0805825,0.060919999999999974,0.34502249999999995,0.09785250000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_15_0,0.38347748,0,-0.32129073,0.6790921,0.04059750000000001,0.0475825,0.08179249999999999,0.06829000000000002,0.357315,0.10005249999999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_16_0,0.36625317,0,-0.34062985,0.6743953,0.0416975,0.0476925,0.08289249999999998,0.07065500000000002,0.36333750000000004,0.09848499999999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_17_0,0.40299293,0,-0.29760796,0.6804938,0.04081750000000001,0.0478575,0.08223249999999999,0.06787749999999998,0.3570125,0.11044749999999998,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_18_0,0.3891305,0,-0.32160857,0.6876045,0.04024,0.046235,0.0814625,0.066805,0.36089,0.10588249999999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_19_0,0.39245334,0,-0.3280779,0.6932394,0.036197499999999994,0.04299,0.07684249999999998,0.06306499999999998,0.34810250000000004,0.09702749999999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_20_0,0.40052372,0,-0.2973543,0.6969727,0.03735250000000001,0.04425499999999999,0.07840999999999998,0.06039749999999999,0.33823,0.09933750000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_21_0,0.40825087,0,-0.3259237,0.7184451,0.037654999999999994,0.043539999999999995,0.0778875,0.0597375,0.3646025,0.10019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_22_0,0.4061444,0,-0.32216874,0.7201516,0.03781999999999999,0.045465000000000005,0.07997749999999998,0.06009500000000001,0.36938750000000004,0.10178500000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_23_0,0.39770153,0,-0.33322662,0.712054,0.03735250000000001,0.0445025,0.08077499999999999,0.06303750000000002,0.374805,0.10074,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_24_0,0.4111892,0,-0.33399922,0.72170705,0.0383425,0.0446125,0.07928999999999997,0.061524999999999996,0.380635,0.10145500000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_25_0,0.40271282,0,-0.32421198,0.71124744,0.03903000000000001,0.04598749999999999,0.0804725,0.062487499999999974,0.37032250000000005,0.10450749999999998,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_26_0,0.40957054,0,-0.33365652,0.722204,0.03787499999999999,0.04447499999999999,0.0770075,0.059352499999999975,0.3679575,0.10329749999999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_27_0,0.39931965,0,-0.34134093,0.72483826,0.03735250000000001,0.04367750000000001,0.07791500000000001,0.058967500000000006,0.369635,0.10194999999999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
